year,scope1_emissions_MtCO2,scope2_emissions_MtCO2,free_allocation_MtCO2,carbon_price_USD_per_tCO2,ets_cost_USD,ets_positive_MtCO2,ets_cost_discounted_USD,ets_cost_calculated_USD,ets_validation_match,capex_USD,capex_discounted_USD,fixed_om_USD,fixed_om_discounted_USD,opex_USD,opex_discounted_USD,total_cost_USD,total_cost_discounted_USD,Q_BF-BOF_Mt,Q_BF-BOF+CCUS_Mt,Q_FINEX-BOF_Mt,Q_Scrap EAF_Mt,Q_NG-DRI-EAF_Mt,Q_H2-DRI/HyREX_Mt,total_steel_Mt,total_production_Mt,K_BF-BOF_Mtpy,Build_BF-BOF_units,K_BF-BOF+CCUS_Mtpy,Build_BF-BOF+CCUS_units,K_FINEX-BOF_Mtpy,Build_FINEX-BOF_units,K_Scrap EAF_Mtpy,Build_Scrap EAF_units,K_NG-DRI-EAF_Mtpy,Build_NG-DRI-EAF_units,K_H2-DRI/HyREX_Mtpy,Build_H2-DRI/HyREX_units,demand_Mt,demand_satisfied,cumulative_emissions_MtCO2,cumulative_production_Mt
2025,64.524,0.0,30.0,60.0,2071440000.0,34.524,2071440000.0,2071440000.0,True,1800000000.0,1800000000.0,1348870000.0,1348870000.0,14024368500.0,14024368500.0,19244678500.0,19244678500.0,32.082,0.0,0.0,3.6,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,35.682,True,64.524,35.682
2026,64.524,0.0,29.077,69.6,2467111200.0,35.447,2349629714.285714,2467111200.0,True,0.0,0.0,1348870000.0,1284638095.2380953,13840334100.000002,13181270571.428572,17656315300.0,16815538380.95238,32.082,0.0,0.0,3.6,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,35.682,True,129.048,71.364
2027,28.614,0.0,28.154,79.2,36432000.0,0.46,33044897.95918367,36432000.00000007,True,9450000000.0,8571428571.428571,1873870000.0,1699655328.7981858,15318365700.0,13894209251.70068,26678667700.0,24198338049.88662,13.182,0.0,0.0,22.5,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,25.0,21.0,0.0,0.0,0.0,0.0,35.682,True,157.662,107.046
2028,27.2309995,0.0,27.231,88.8,0.0,0.0,0.0,0.0,True,450000000.0,388726919.3391642,1898870000.0,1640315300.7234638,15206586102.199999,13136020820.386566,17555456102.199997,15165063040.449192,12.454105,0.0,0.0,23.227895,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,35.682,True,184.8929995,142.728
2029,26.904,0.0,26.308,98.4,58646400.0,0.596,48248538.41763462,58646400.000000015,True,0.0,0.0,1898870000.0,1562205048.3080606,15046074900.0,12378443056.134016,17003591300.0,13988896642.85971,12.282,0.0,0.0,23.4,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,35.682,True,211.7969995,178.41000000000003
2030,25.384999399999998,0.0,25.385,108.0,0.0,0.0,0.0,0.0,True,450000000.0,352586774.9108065,1923870000.0,1507402485.883674,14941669580.8,11707189087.282608,17315539580.8,13567178348.07709,11.482526,0.0,0.0,24.199474,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,35.682,True,237.1819989,214.092
2031,24.1149995,0.0,24.115,117.6,0.0,0.0,0.0,0.0,True,450000000.0,335796928.4864823,1948870000.0,1454276800.043224,14996359111.925001,11190514062.810415,17395229111.925003,12980587791.340124,10.814105,0.0,0.0,24.867895,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,35.682,True,261.2969984,249.774
2032,22.8460009,0.0,22.846,127.2,0.0,0.0,0.0,114.4799999821089,True,450000000.0,319806598.5585546,1973870000.0,1402792557.1039426,15059169978.27,10702270950.812515,17483039978.27,12424870106.475012,10.146211,0.0,0.0,25.535789,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,35.682,True,284.1429993,285.456
2033,21.577,0.0,21.577,136.8,0.0,0.0,0.0,0.0,True,450000000.0,304577712.91290915,1998870000.0,1352913895.5782816,15130149226.770002,10240680550.045841,17579019226.770004,11898172158.537033,9.4783158,0.0,0.0,26.203684,0.0,0.0,35.6819998,35.6819998,35.682,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,35.682,True,305.7199993,321.1379998
2034,20.308000099999997,0.0,20.308,146.4,0.0,0.0,0.0,14.639999650967184,True,450000000.0,290074012.29800874,2023870000.0,1304604647.2657132,15209297003.205,9804048457.670565,17683167003.205,11398727117.234287,8.8104211,0.0,0.0,26.871579,0.0,0.0,35.682000099999996,35.682000099999996,35.682,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,35.682,True,326.0279994,356.8199999
