year,scope1_emissions_MtCO2,scope2_emissions_MtCO2,free_allocation_MtCO2,carbon_price_USD_per_tCO2,ets_cost_USD,ets_positive_MtCO2,ets_cost_discounted_USD,ets_cost_calculated_USD,ets_validation_match,capex_USD,capex_discounted_USD,fixed_om_USD,fixed_om_discounted_USD,opex_USD,opex_discounted_USD,total_cost_USD,total_cost_discounted_USD,Q_BF-BOF_Mt,Q_BF-BOF+CCUS_Mt,Q_FINEX-BOF_Mt,Q_Scrap EAF_Mt,Q_NG-DRI-EAF_Mt,Q_H2-DRI/HyREX_Mt,total_steel_Mt,total_production_Mt,K_BF-BOF_Mtpy,Build_BF-BOF_units,K_BF-BOF+CCUS_Mtpy,Build_BF-BOF+CCUS_units,K_FINEX-BOF_Mtpy,Build_FINEX-BOF_units,K_Scrap EAF_Mtpy,Build_Scrap EAF_units,K_NG-DRI-EAF_Mtpy,Build_NG-DRI-EAF_units,K_H2-DRI/HyREX_Mtpy,Build_H2-DRI/HyREX_units,demand_Mt,demand_satisfied,cumulative_emissions_MtCO2,cumulative_production_Mt
2025,30.324,0.0,30.0,90.0,29160000.0,0.324,29160000.0,29160000.000000145,True,10800000000.0,10800000000.0,1848870000.0,1848870000.0,15592168500.0,15592168500.0,28270198500.0,28270198500.0,14.082,0.0,0.0,21.6,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,35.682,True,30.324,35.682
2026,29.0769996,0.0,29.077,106.4,0.0,0.0,0.0,0.0,True,450000000.0,428571428.57142854,1873870000.0,1784638095.238095,15473134876.32,14736318929.82857,17797004876.32,16949528453.638094,13.425684,0.0,0.0,22.256316,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,35.682,True,59.400999600000006,71.364
2027,28.1540005,0.0,28.154,122.8,0.0,0.0,0.0,61.3999998449799,True,450000000.0,408163265.3061224,1898870000.0,1722331065.759637,15339656413.7,13913520556.643991,17688526413.7,16044014887.70975,12.939895,0.0,0.0,22.742105,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,35.682,True,87.5550001,107.046
2028,27.2309995,0.0,27.231,139.2,0.0,0.0,0.0,0.0,True,0.0,0.0,1898870000.0,1640315300.7234638,15206586102.199999,13136020820.386566,17105456102.199999,14776336121.11003,12.454105,0.0,0.0,23.227895,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,35.682,True,114.7859996,142.728
2029,26.904,0.0,26.308,155.6,92737599.99999999,0.596,76295453.02625962,92737600.00000001,True,0.0,0.0,1898870000.0,1562205048.3080606,15046074900.0,12378443056.134016,17037682500.0,14016943557.468336,12.282,0.0,0.0,23.4,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,35.682,True,141.6899996,178.41000000000003
2030,25.384999399999998,0.0,25.385,172.0,0.0,0.0,0.0,0.0,True,450000000.0,352586774.9108065,1923870000.0,1507402485.883674,14941669580.8,11707189087.282608,17315539580.8,13567178348.07709,11.482526,0.0,0.0,24.199474,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,35.682,True,167.074999,214.092
2031,24.1149995,0.0,24.115,188.4,0.0,0.0,0.0,0.0,True,450000000.0,335796928.4864823,1948870000.0,1454276800.043224,14996359111.925001,11190514062.810415,17395229111.925003,12980587791.340124,10.814105,0.0,0.0,24.867895,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,35.682,True,191.1899985,249.774
2032,22.8460009,0.0,22.846,204.8,0.0,0.0,0.0,184.3199999711942,True,450000000.0,319806598.5585546,1973870000.0,1402792557.1039426,15059169978.27,10702270950.812515,17483039978.27,12424870106.475012,10.146211,0.0,0.0,25.535789,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,35.682,True,214.0359994,285.456
2033,21.577,0.0,21.577,221.2,0.0,0.0,0.0,0.0,True,450000000.0,304577712.91290915,1998870000.0,1352913895.5782816,15130149226.770002,10240680550.045841,17579019226.770004,11898172158.537033,9.4783158,0.0,0.0,26.203684,0.0,0.0,35.6819998,35.6819998,35.682,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,35.682,True,235.6129994,321.1379998
2034,20.308000099999997,0.0,20.308,237.6,0.0,0.0,0.0,23.759999433536905,True,450000000.0,290074012.29800874,2023870000.0,1304604647.2657132,15209297003.205,9804048457.670565,17683167003.205,11398727117.234287,8.8104211,0.0,0.0,26.871579,0.0,0.0,35.682000099999996,35.682000099999996,35.682,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,35.682,True,255.9209995,356.8199999
2035,19.038,0.0,19.038,254.0,0.0,0.0,0.0,0.0,True,450000000.0,276260964.0933416,2048870000.0,1257828447.7820551,15296676000.0,9390832131.518845,17795546000.0,10924921543.394241,8.142,0.0,0.0,27.54,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,35.682,True,274.9589995,392.5019999
2036,17.7690001,0.0,17.769,270.4,0.0,0.0,0.0,27.04000031599207,True,0.0,0.0,2048870000.0,1197931855.0305288,15431499917.2989,9022478401.183737,17480369917.2989,10220410256.214266,7.4741053,0.0,0.0,28.207895,0.0,0.0,35.6820003,35.6820003,35.682,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,35.682,True,292.7279996,428.1840002
2037,16.4999999,0.0,16.5,286.8,0.0,0.0,0.0,0.0,True,450000000.0,250576838.17990166,2073870000.0,1154808416.435895,15567536303.2585,8668586722.491888,18091406303.2585,10073971977.107685,6.8062105,0.0,0.0,28.875789,0.0,0.0,35.6819995,35.6819995,35.682,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,35.682,True,309.2279995,463.86599970000003
2038,15.231,0.0,15.231,303.2,0.0,0.0,0.0,0.0,True,450000000.0,238644607.79038253,2098870000.0,1113075573.2288892,15704629059.109999,8328500094.010555,18253499059.11,9680220275.029827,6.1383158,0.0,0.0,29.543684,0.0,0.0,35.6819998,35.6819998,35.682,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,35.682,True,324.4589995,499.5479995
2039,13.962000100000001,0.0,13.962,319.6,0.0,0.0,0.0,31.960000373487677,True,450000000.0,227280578.84798333,2123870000.0,1072698673.328592,15842859908.5593,8001720823.610813,18416729908.5593,9301700075.787388,5.4704211,0.0,0.0,30.211579,0.0,0.0,35.6820001,35.6820001,35.682,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,35.682,True,338.4209996,535.2299996
2040,12.692,0.0,12.692,336.0,0.0,0.0,0.0,0.0,True,450000000.0,216457694.1409365,2148870000.0,1033643211.5747427,15982346774.0,7687782065.913055,18581216774.0,8937882971.628735,4.802,0.0,0.0,30.88,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,35.682,True,351.1129996,570.9119996000001
2041,11.4230001,0.0,11.423,352.4,0.0,0.0,0.0,35.23999978582992,True,0.0,0.0,2148870000.0,984422106.2616599,16122846911.609999,7386061937.512,18271716911.61,8370484043.773661,4.1341053,0.0,0.0,31.547895,0.0,0.0,35.6820003,35.6820003,35.682,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,35.682,True,362.5359997,606.5939999
2042,10.1539999,0.0,10.154,368.8,0.0,0.0,0.0,0.0,True,450000000.0,196333509.4248857,2173870000.0,948452280.2966139,16264484640.556498,7096140774.372461,18888354640.556496,8240926564.093961,3.4662105,0.0,0.0,32.215789,0.0,0.0,35.6819995,35.6819995,35.682,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,35.682,True,372.6899996,642.2759994
2043,8.885000000000002,0.0,8.885,385.2,0.0,0.0,0.0,6.842526545369765e-07,True,450000000.0,186984294.69036737,2198870000.0,913675902.3684624,16407291745.034601,6817568610.498626,19056161745.0346,7918228807.557455,2.7983158,0.0,0.0,32.883684,0.0,0.0,35.6819998,35.6819998,35.682,0.0,0.0,0.0,0.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0,35.682,True,381.5749996,677.9579992
2044,7.6149999,0.0,7.615,401.6,0.0,0.0,0.0,0.0,True,450000000.0,178080280.6574927,2223870000.0,880060874.9906183,16551265694.834997,6549897867.050994,19225135694.835,7608039022.699105,2.1298947,0.0,0.0,33.552105,0.0,0.0,35.6819997,35.6819997,35.682,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,35.682,True,389.1899995,713.6399989
2045,6.346,0.0,6.346,418.0,0.0,0.0,0.0,0.0,True,0.0,0.0,2223870000.0,838153214.2767794,16696311306.0,6292664134.00497,18920181306.0,7130817348.281749,1.462,0.0,0.0,34.22,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,35.682,True,395.5359995,749.3219989
2046,5.07700002,0.0,5.077,434.4,0.0,0.0,0.0,8.687999947198932,True,450000000.0,161524064.08842874,2248870000.0,807214715.5700994,16842503732.08962,6045488116.07032,19541373732.089622,7014226895.728849,0.79410526,0.0,0.0,34.887895,0.0,0.0,35.68200026,35.68200026,35.682,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,35.682,True,400.61299952,785.00399916
2047,3.80799996,0.0,3.808,450.8,0.0,0.0,0.0,0.0,True,450000000.0,153832441.98897973,2273870000.0,777322166.3677363,16989817696.5695,5807966989.357487,19713687696.5695,6739121597.714202,0.12621053,0.0,0.0,35.555789,0.0,0.0,35.68199953,35.68199953,35.682,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,35.682,True,404.42099948,820.68599869
2048,3.5682000000000005,0.0,2.538,467.2,481309440.0,1.0302,156700542.87311813,481309440.0000003,True,0.0,0.0,2273870000.0,740306825.1121298,17067414240.000002,5556660340.691401,19822593680.0,6453667708.676648,0.0,0.0,0.0,35.682,0.0,0.0,35.682,35.682,35.682,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,35.682,True,407.98919948,856.36799869
