year,scope1_Mt,scope2_Mt,scope12_Mt,share_bf_bof,share_scrap eaf,share_ng_dri_eaf,share_h2_dri/hyrex,production_cost_USD,carbon_cost_USD,total_cost_USD
2025,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,89.205,14362.005
2026,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,178.41,14451.21
2027,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,267.615,14540.414999999999
2028,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,356.82,14629.619999999999
2029,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,446.025,14718.824999999999
2030,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,535.23,14808.029999999999
2031,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,624.435,14897.234999999999
2032,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,713.64,14986.439999999999
2033,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,802.845,15075.644999999999
2034,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,892.05,15164.849999999999
2035,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,981.255,15254.054999999998
2036,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,1070.46,15343.259999999998
2037,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,1159.665,15432.465
2038,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,1248.87,15521.669999999998
2039,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,1338.075,15610.875
2040,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,1427.28,15700.08
2041,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,1516.485,15789.285
2042,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,1605.69,15878.49
2043,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,1694.895,15967.695
2044,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,1784.1,16056.9
2045,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,1873.305,16146.105
2046,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,1962.51,16235.31
2047,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,2051.715,16324.515
2048,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,2140.92,16413.72
2049,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,2230.125,16502.925
2050,1.7841,0.0,1.7841,0.0,1.0,0.0,0.0,14272.8,2319.33,16592.129999999997
