year,Q_BF-BOF_Mt,Q_BF-BOF+CCUS_Mt,Q_FINEX-BOF_Mt,Q_Scrap EAF_Mt,Q_NG-DRI-EAF_Mt,Q_H2-DRI/HyREX_Mt,scope1_MtCO2,free_alloc_MtCO2,carbon_price_USDpt
2025,32.082,0.0,0.0,3.6,0.0,0.0,64.524,30.0,60.0
2026,32.082,0.0,0.0,3.6,0.0,0.0,64.524,29.077,69.6
2027,13.182,0.0,0.0,22.5,0.0,0.0,28.614,28.154,79.2
2028,12.454105,0.0,0.0,23.227895,0.0,0.0,27.2309995,27.231,88.8
2029,12.282,0.0,0.0,23.4,0.0,0.0,26.904,26.308,98.4
2030,11.482526,0.0,0.0,24.199474,0.0,0.0,25.384999399999998,25.385,108.0
2031,10.814105,0.0,0.0,24.867895,0.0,0.0,24.1149995,24.115,117.6
2032,10.146211,0.0,0.0,25.535789,0.0,0.0,22.8460009,22.846,127.2
2033,9.4783158,0.0,0.0,26.203684,0.0,0.0,21.577,21.577,136.8
2034,8.8104211,0.0,0.0,26.871579,0.0,0.0,20.308000099999997,20.308,146.4
2035,8.142,0.0,0.0,27.54,0.0,0.0,19.038,19.038,156.0
2036,7.4741053,0.0,0.0,28.207895,0.0,0.0,17.7690001,17.769,165.6
2037,6.8062105,0.0,0.0,28.875789,0.0,0.0,16.4999999,16.5,175.2
2038,6.1383158,0.0,0.0,29.543684,0.0,0.0,15.231,15.231,184.8
2039,5.4704211,0.0,0.0,30.211579,0.0,0.0,13.962000100000001,13.962,194.4
2040,4.802,0.0,0.0,30.88,0.0,0.0,12.692,12.692,204.0
2041,4.1341053,0.0,0.0,31.547895,0.0,0.0,11.4230001,11.423,213.6
2042,3.4662105,0.0,0.0,32.215789,0.0,0.0,10.1539999,10.154,223.2
2043,2.7983158,0.0,0.0,32.883684,0.0,0.0,8.885000000000002,8.885,232.8
2044,2.1298947,0.0,0.0,33.552105,0.0,0.0,7.6149999,7.615,242.4
2045,1.462,0.0,0.0,34.22,0.0,0.0,6.346,6.346,252.0
2046,0.79410526,0.0,0.0,34.887895,0.0,0.0,5.07700002,5.077,261.6
2047,0.12621053,0.0,0.0,35.555789,0.0,0.0,3.80799996,3.808,271.2
2048,0.0,0.0,0.0,35.682,0.0,0.0,3.5682000000000005,2.538,280.8
2049,0.0,0.0,0.0,35.682,0.0,0.0,3.5682000000000005,1.269,290.4
2050,0.0,0.0,0.0,35.682,0.0,0.0,3.5682000000000005,0.0,300.0
