year,Q_BF-BOF_Mt,Q_BF-BOF+CCUS_Mt,Q_FINEX-BOF_Mt,Q_Scrap EAF_Mt,Q_NG-DRI-EAF_Mt,Q_H2-DRI/HyREX_Mt,scope1_MtCO2,free_alloc_MtCO2,carbon_price_USDpt
2025,14.082,0.0,0.0,21.6,0.0,0.0,30.324,30.0,90.0
2026,13.4256842105263,0.0,0.0,22.2563157894737,0.0,0.0,29.07699999999997,29.077,106.4
2027,13.182,0.0,0.0,22.5,0.0,0.0,28.614,28.154,122.8
2028,12.4541052631579,0.0,0.0,23.2278947368421,0.0,0.0,27.23100000000001,27.231,139.2
2029,11.9683157894737,0.0,0.0,23.7136842105263,0.0,0.0,26.30800000000003,26.308,155.6
2030,11.4825263157895,0.0,0.0,24.1994736842105,0.0,0.0,25.385000000000048,25.385,172.0
2031,10.8141052631579,0.0,0.0,24.8678947368421,0.0,0.0,24.11500000000001,24.115,188.4
2032,10.1462105263158,0.0,0.0,25.5357894736842,0.0,0.0,22.846000000000018,22.846,204.8
2033,9.582,0.0,0.0,26.1,0.0,0.0,21.774,21.577,221.2
2034,8.81042105263158,0.0,0.0,26.8715789473684,0.0,0.0,20.308,20.308,237.6
2035,8.142,0.0,0.0,27.54,0.0,0.0,19.038,19.038,254.0
2036,7.47410526315789,0.0,0.0,28.2078947368421,0.0,0.0,17.76899999999999,17.769,270.4
2037,6.882,0.0,0.0,28.8,0.0,0.0,16.644,16.5,286.8
2038,6.13831578947368,0.0,0.0,29.5436842105263,0.0,0.0,15.23099999999999,15.231,303.2
2039,5.47042105263158,0.0,0.0,30.2115789473684,0.0,0.0,13.962,13.962,319.6
2040,4.802,0.0,0.0,30.88,0.0,0.0,12.692,12.692,336.0
2041,4.182,0.0,0.0,31.5,0.0,0.0,11.514000000000001,11.423,352.4
2042,3.46621052631579,0.0,0.0,32.2157894736842,0.0,0.0,10.154,10.154,368.8
2043,2.79831578947368,0.0,0.0,32.8836842105263,0.0,0.0,8.88499999999999,8.885,385.2
2044,2.1298947368421,0.0,0.0,33.5521052631579,0.0,0.0,7.6149999999999896,7.615,401.6
2045,1.482,0.0,0.0,34.2,0.0,0.0,6.384,6.346,418.0
2046,0.794105263157894,0.0,0.0,34.8878947368421,0.0,0.0,5.076999999999998,5.077,434.4
2047,0.126210526315789,0.0,0.0,35.5557894736842,0.0,0.0,3.807999999999998,3.808,450.8
2048,0.0,0.0,0.0,35.682,0.0,0.0,3.5682000000000005,2.538,467.2
2049,0.0,0.0,0.0,35.682,0.0,0.0,3.5682000000000005,1.269,483.6
2050,0.0,0.0,0.0,35.682,0.0,0.0,3.5682000000000005,0.0,500.0
